Year,CanESM5,CESM2,GFDL-ESM4,MIROC6,UKESM1
2053,13.838828023274743,13.330893452962243,10.38776295979818,13.135794576009118,14.002303059895837
2054,13.035735066731775,13.418738301595056,11.093253072102868,12.874472554524743,12.764733886718773
2055,12.649611409505212,13.426248168945335,11.67481384277346,12.894827779134118,12.848270670572958
2056,12.6311024983724,11.626796976725302,11.670729573567712,13.446496582031273,14.004500325520837
2057,13.364564514160179,13.663557942708337,12.177341715494833,13.126730855305993,12.839908854166708
2058,14.071038818359398,14.438676452636741,11.337386067708337,12.795350646972679,12.390323893229208
2059,13.966872151692712,14.0249013264974,10.70196431477865,12.390613810221396,12.553938802083337
2060,13.827317810058616,14.384729003906273,12.47310282389327,12.238066609700525,13.673323567708337
2061,13.875901794433616,13.360856628417991,11.106378173828148,13.947437540690146,12.819889322916708
2062,13.592584228515648,12.93543141682943,11.70472361246749,13.401790873209677,10.283756510416708
2063,13.876303609212243,13.660353597005212,10.822925821940146,13.361011759440146,13.304711914062523
2064,13.847395833333337,13.89911549886068,11.292921956380212,12.99299265543624,13.114465332031273
2065,13.17445780436202,12.72675221761068,12.09863942464193,13.488323465983115,13.013411458333337
2066,13.82996520996096,14.236683146158896,11.705262756347679,13.291480000813806,13.955651855468773
2067,12.352385457356775,13.373381551106775,11.717431640625023,13.424531555175804,14.297937011718773
2068,13.40504862467452,14.436072285970056,10.609989420572958,14.18463795979818,13.626163736979208
2069,14.463494873046898,14.577366129557333,12.191433207194052,13.285727437337243,13.715926106770837
2070,15.46283620198568,14.588009134928427,11.849918619791708,13.774639383951865,13.991967773437523
2071,14.520049031575525,13.372155761718773,12.853865559895837,14.094829813639365,12.061649576822958
2072,14.459219868977868,14.487247721354208,12.207755025227868,14.394486999511741,13.795353190104208
2073,13.140540059407556,14.705781555175804,12.945537821451865,13.941097513834677,13.917321777343773
2074,14.984773254394554,14.05250193277999,13.062903340657556,14.757170613606775,14.474186197916708
2075,14.309999084472679,15.291830952962243,13.56276346842452,13.508732096354208,13.716455078125023
2076,14.617903645833337,15.285244242350302,11.937707519531273,14.19873708089193,13.911340332031273
2077,14.707378641764365,14.952612813313806,12.278443908691429,14.807425435384118,14.029768880208337
2078,14.80788065592452,14.083586629231775,12.320024108886741,14.52486063639327,14.925317382812523
2079,14.135247802734398,14.315398152669275,12.5130605061849,13.806705729166708,14.818933105468773
2080,15.032413736979208,15.904069519042991,12.566092427571618,14.358857727050804,14.677779134114587
2081,14.802301025390648,14.794193522135458,12.823592122395837,13.96990865071615,15.265425618489587
2082,15.033708190917991,14.900453186035179,12.855986531575525,14.856594340006552,15.240075683593773
2083,14.944668070475302,16.01196950276693,12.774023946126306,13.877534484863304,15.427575683593773
2084,14.95948435465499,15.618557230631552,11.805584208170615,14.053023274739587,15.732080078125023
2085,16.46906687418624,16.16003824869796,12.194268798828148,14.197376505533896,15.964135742187523
2086,16.311214701334677,15.330628967285179,11.93111063639327,13.853529866536462,16.606306966145837
2087,15.708955383300804,16.154463704427087,12.71083475748702,14.536312357584677,15.047326660156273
